id,F Name,L Name,Gender,Location,Categories,Hit count,Total Views
770,Sai,Ahluwalia,Female,Maharashtra,"['Ministry of Electronics and IT', 'Ministry of Information and Broadcasting']",15,59
771,Ishaan,Anand,Male,Himachal Pradesh,['Department of Atomic Energies'],57,20
772,Veer,Kumar,Male,Punjab,['Ministry of Agriculture and Farmers Welfare'],69,89
773,Pari,Lal,Male,Manipur,"['Ministry of Culture', 'Ministry of Information and Broadcasting']",51,61
774,Advik,Gandhi,Female,Lakshadweep,"['Ministry of Science and Technology', 'AYUSH', 'Ministry of Commerce and Industry']",75,2
775,Kabir,Ganguly,Female,Meghalaya,"['Ministry of Law and Justice', 'Ministry of Defence']",87,96
776,Aditya,Gupta,Male,Jharkhand,['Department of Atomic Energies'],45,38
777,Pranav,Balakrishna,Female,Tripura,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of External Affairs']",83,36
778,Diya,Chowdhury,Female,Chandigarh,['Ministry of Information and Broadcasting'],34,31
779,Akshara,Saraf,Female,Arunachal Pradesh,['Ministry of Housing and Urban Affairs'],87,42
780,Diya,Singh,Male,Haryana,"['Ministry of Youth Affairs and Sports', 'UPSC', 'PM Speech', 'Ministry of Civil Aviation']",22,72
781,Kian,Kaur,Male,Manipur,"['Ministry of Housing and Urban Affairs', 'Ministry of Steel', 'Ministry of Law and Justice']",33,89
782,Sai,Khanna,Male,Tamil Nadu,"['Ministry of Coal', 'Ministry of Petroleum and Natural Gases', 'Ministry of Tribal Affairs']",94,62
783,Aayan,Ahluwalia,Male,West Bengal,['Ministry of Law and Justice'],93,12
784,Ritvik,Lal,Male,Bihar,['Ministry of Communications'],21,34
785,Atharva,Bhasin,Female,Haryana,"['UPSC', 'Ministry of Tourism', 'Ministry of Communications', 'Ministry of Information and Broadcasting']",14,60
786,Vivaan,Malhotra,Female,Tamil Nadu,['Ministry of External Affairs'],36,67
787,Vivaan,Balakrishna,Female,Chandigarh,"['Ministry of Tourism', 'Ministry of Information and Broadcasting', 'Ministry of External Affairs']",58,15
788,Ahana,Ray,Male,Delhi,"['PM Speech', 'Ministry of Coal', 'Ministry of Commerce and Industry', 'Ministry of External Affairs']",14,16
789,Veer,Khurana,Male,Rajasthan,"['Ministry of Youth Affairs and Sports', 'PM Speech']",23,37
790,Shanaya,Parekh,Female,Madhya Pradesh,['Ministry of Tourism'],31,55
791,Vivaan,Saraf,Male,Himachal Pradesh,"['Ministry of External Affairs', 'Ministry of Youth Affairs and Sports']",13,62
792,Kyra,Jha,Female,Andaman and Nicobar Islands,"['UPSC', 'Ministry of Company Affairs', 'Ministry of Power', 'Ministry of Coal']",72,18
793,Aaryan,Khurana,Male,Meghalaya,"['Ministry of Commerce and Industry', 'Ministry of Culture', 'Ministry of Housing and Urban Affairs', 'AYUSH']",91,94
794,Ishaan,Malhotra,Male,Chhattisgarh,"['Ministry of Coal', 'Ministry of External Affairs', 'Ministry of Housing and Urban Affairs']",40,59
795,Kian,Das,Male,Jammu and Kashmir,"['Ministry of Power', 'Ministry of Defence', 'Ministry of Steel', 'Ministry of Company Affairs']",37,35
796,Iraa,Singh,Female,Bihar,"['Ministry of Coal', 'Ministry of Petroleum and Natural Gases', 'Ministry of Civil Aviation']",84,45
797,Kian,Pal,Male,Himachal Pradesh,"['Ministry of Law and Justice', 'Ministry of Agriculture and Farmers Welfare']",18,63
798,Vivaan,Datta,Male,Arunachal Pradesh,"['Ministry of Petroleum and Natural Gases', 'Ministry of Information and Broadcasting', 'AYUSH', 'Ministry of Science and Technology']",44,90
799,Aaradhya,Datta,Female,Jharkhand,['Ministry of Information and Broadcasting'],77,14
800,Akshara,Parekh,Male,Odisha,"['Department of Atomic Energies', 'Ministry of Housing and Urban Affairs', 'PM Speech', 'Ministry of Science and Technology']",75,7
801,Aarush,Thakur,Female,Karnataka,"['Ministry of Housing and Urban Affairs', 'Ministry of Company Affairs', 'Ministry of Commerce and Industry', 'Ministry of Tribal Affairs']",4,43
802,Vivaan,Lal,Male,Sikkim,"['Ministry of Tourism', 'Ministry of Petroleum and Natural Gases', 'AYUSH', 'Ministry of Power']",83,39
803,Vivaan,Kulkarni,Male,Nagaland,"['Ministry of Civil Aviation', 'Ministry of Steel', 'Ministry of Science and Technology']",36,1
804,Sara,Anand,Female,Madhya Pradesh,"['Ministry of Company Affairs', 'Department of Atomic Energies']",24,74
805,Kabir,Sachdev,Male,Nagaland,"['Ministry of Electronics and IT', ""Prime Minister's Office"", 'Ministry of Housing and Urban Affairs']",21,52
806,Arjun,Kaur,Male,Odisha,"['Ministry of Civil Aviation', 'Ministry of Communications', 'Ministry of Company Affairs', 'Ministry of Defence']",71,4
807,Atharva,Kulkarni,Female,Maharashtra,['Ministry of Steel'],85,2
808,Aarohi,Das,Female,Rajasthan,"['UPSC', 'Ministry of External Affairs']",53,56
809,Advik,Biswas,Female,Manipur,"['Department of Atomic Energies', 'Ministry of Agriculture and Farmers Welfare']",89,51
810,Shaurya,Jain,Female,Mizoram,"['Ministry of Electronics and IT', ""Prime Minister's Office"", 'Ministry of Agriculture and Farmers Welfare']",12,91
811,Aaradhya,Chandra,Male,Madhya Pradesh,['Department of Atomic Energies'],75,81
812,Sara,Saraf,Male,Jharkhand,['Ministry of Tribal Affairs'],88,26
813,Aarohi,Ahuja,Female,Punjab,"['Ministry of Science and Technology', ""Prime Minister's Office"", 'Ministry of Tribal Affairs', 'Ministry of Coal']",50,4
814,Atharva,Mannan,Female,Haryana,"['Ministry of Law and Justice', 'Ministry of Steel', ""Prime Minister's Office"", 'Ministry of Electronics and IT']",40,52
815,Angel,Bajwa,Female,Chhattisgarh,"['UPSC', ""Prime Minister's Office"", 'Ministry of Petroleum and Natural Gases']",58,70
816,Sara,Mannan,Female,Manipur,"['Ministry of Civil Aviation', 'Ministry of Communications', 'Ministry of Science and Technology']",36,97
817,Aadhya,Khanna,Female,Arunachal Pradesh,"['Ministry of Steel', 'Ministry of Company Affairs', 'Ministry of Tourism']",26,10
818,Anaya,Kumar,Female,Manipur,"['Ministry of Tourism', 'Ministry of Company Affairs', 'Ministry of Law and Justice', 'Ministry of Housing and Urban Affairs']",99,96
819,Anaya,Basu,Female,Kerala,"['AYUSH', 'Ministry of Housing and Urban Affairs']",60,79
820,Riya,Singh,Male,Manipur,"['Ministry of Petroleum and Natural Gases', 'Ministry of Tribal Affairs', 'Ministry of Coal', 'Ministry of Information and Broadcasting']",36,54
821,Vivaan,Ahluwalia,Female,Tamil Nadu,"['Ministry of Tourism', 'Ministry of Steel', 'Ministry of Agriculture and Farmers Welfare']",4,79
822,Diya,Anand,Male,Delhi,"['Ministry of Information and Broadcasting', 'UPSC', 'Ministry of Communications']",27,87
823,Ananya,Malhotra,Male,Manipur,"['Ministry of Coal', 'Ministry of Communications']",76,42
824,Vivaan,Das,Female,Sikkim,['Ministry of Culture'],84,25
825,Diya,Purohit,Male,Uttar Pradesh,"['Department of Atomic Energies', 'Ministry of Steel', 'Ministry of Commerce and Industry', 'Ministry of Company Affairs']",46,36
826,Siya,Chakrabarti,Female,Jammu and Kashmir,"['UPSC', 'Ministry of Tourism', 'Ministry of Youth Affairs and Sports']",23,96
827,Pari,Ahluwalia,Female,Meghalaya,"['Ministry of Civil Aviation', 'Ministry of Housing and Urban Affairs', 'Ministry of Petroleum and Natural Gases', 'Ministry of Tourism']",37,44
828,Vivaan,Gokhale,Female,Manipur,"['Ministry of External Affairs', 'Ministry of Housing and Urban Affairs', 'Ministry of Defence', 'Ministry of Tribal Affairs']",69,68
829,Pranav,Chakrabarti,Male,Daman and Diu,"['Ministry of Commerce and Industry', 'AYUSH', 'Ministry of Civil Aviation']",72,57
830,Vivaan,Ahuja,Female,Telangana,"['UPSC', 'Ministry of Law and Justice']",16,80
831,Aarush,Malhotra,Female,Arunachal Pradesh,['Ministry of Tourism'],14,50
832,Vihaan,Khurana,Male,Chandigarh,"['Ministry of Commerce and Industry', 'Ministry of Power', 'Ministry of Defence']",23,6
833,Angel,Chawla,Male,Tripura,"['Ministry of Housing and Urban Affairs', 'Ministry of Science and Technology', 'AYUSH', 'Ministry of Law and Justice']",53,58
834,Ananya,Modi,Female,Bihar,"[""Prime Minister's Office"", 'Ministry of Electronics and IT', 'Ministry of Tourism']",67,13
835,Myra,Datta,Male,Uttar Pradesh,"['Ministry of Housing and Urban Affairs', 'Ministry of Agriculture and Farmers Welfare', 'UPSC', 'Ministry of Culture']",48,70
836,Reyansh,Chawla,Male,Mizoram,"['Ministry of Communications', 'Ministry of Electronics and IT']",34,94
837,Diya,Modi,Male,Bihar,['UPSC'],61,16
838,Sara,Ahluwalia,Female,Arunachal Pradesh,"['Ministry of Youth Affairs and Sports', 'Ministry of Steel', 'Ministry of Agriculture and Farmers Welfare', 'PM Speech']",11,83
839,Anya,Mannan,Female,Assam,"['Ministry of Housing and Urban Affairs', 'Ministry of Science and Technology', 'AYUSH']",81,55
840,Arjun,Khanna,Female,Puducherry,"['Ministry of Defence', 'Ministry of Company Affairs', 'Ministry of Information and Broadcasting']",69,95
841,Ishaan,Laghari,Male,Punjab,['Ministry of Communications'],24,62
842,Angel,Biswas,Female,Bihar,"['Ministry of Electronics and IT', 'UPSC', 'Ministry of Company Affairs']",51,35
843,Aaryan,Naidu,Female,Telangana,"['Ministry of Defence', 'Ministry of Civil Aviation']",25,2
844,Ahana,Balakrishna,Female,Odisha,"['Department of Atomic Energies', 'Ministry of Housing and Urban Affairs', 'Ministry of Power', 'Ministry of Commerce and Industry']",48,21
845,Aditya,Gupta,Female,Chhattisgarh,['Ministry of Commerce and Industry'],86,38
846,Siya,Mehta,Male,Meghalaya,"['Ministry of Tourism', 'Ministry of Power', 'Ministry of Steel', 'Ministry of Commerce and Industry']",69,10
847,Aarav,Modi,Male,Meghalaya,"['Ministry of Power', 'PM Speech']",10,5
848,Kabir,Chawla,Male,Madhya Pradesh,"['Ministry of Company Affairs', 'Ministry of Petroleum and Natural Gases']",71,83
849,Arjun,Dewan,Female,Goa,['Ministry of Information and Broadcasting'],48,78
850,Myra,Chakrabarti,Male,Puducherry,"['Ministry of Science and Technology', 'AYUSH', 'Ministry of Steel', 'Department of Atomic Energies']",31,69
851,Krishna,Jain,Female,Assam,['Ministry of Commerce and Industry'],36,26
852,Krishna,Dalal,Male,West Bengal,"['Ministry of Company Affairs', 'Ministry of Defence', 'Ministry of Communications', 'Ministry of External Affairs']",69,63
853,Dhruv,Khatri,Male,Jammu and Kashmir,['Ministry of Coal'],76,76
854,Veer,Thakur,Female,Telangana,"[""Prime Minister's Office""]",90,15
855,Veer,Bedi,Female,Jammu and Kashmir,['Ministry of Company Affairs'],67,47
856,Advik,Mani,Male,Delhi,"['Ministry of Steel', 'Ministry of Science and Technology', 'AYUSH', 'UPSC']",49,63
857,Ritvik,Kulkarni,Male,Madhya Pradesh,"['Ministry of Power', 'Ministry of Housing and Urban Affairs', 'Ministry of Agriculture and Farmers Welfare']",52,75
858,Arnav,Mani,Female,Tamil Nadu,"['Ministry of Company Affairs', 'Ministry of Defence', 'Ministry of Youth Affairs and Sports', 'Ministry of Communications']",56,50
859,Akshara,Parekh,Male,Uttar Pradesh,['Ministry of Communications'],75,48
860,Dhruv,Purohit,Male,Karnataka,"['Ministry of Housing and Urban Affairs', 'Ministry of Petroleum and Natural Gases']",29,61
861,Diya,Ahluwalia,Female,Sikkim,"['Ministry of Civil Aviation', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Communications', 'Ministry of External Affairs']",28,60
862,Sara,Gill,Female,Maharashtra,"['Ministry of Tribal Affairs', 'Ministry of Electronics and IT']",15,14
863,Eva,Biswas,Female,Puducherry,"['Ministry of Defence', 'AYUSH']",50,92
864,Sai,Mani,Male,Tamil Nadu,['Ministry of Civil Aviation'],54,79
865,Atharva,Ray,Male,Mizoram,"['Ministry of Company Affairs', 'Ministry of Agriculture and Farmers Welfare', 'PM Speech', 'Ministry of Tourism']",89,39
866,Eva,Biswas,Male,Himachal Pradesh,"['Ministry of Culture', 'Ministry of Company Affairs', 'Ministry of Petroleum and Natural Gases', 'Ministry of Coal']",34,96
867,Darsh,Mannan,Male,Mizoram,['Ministry of Communications'],33,22
868,Kyra,Jha,Female,Assam,"['Ministry of Youth Affairs and Sports', 'Ministry of Defence', 'Ministry of Science and Technology', 'Ministry of Information and Broadcasting']",31,19
869,Vivaan,Kapoor,Female,Lakshadweep,['Ministry of Youth Affairs and Sports'],10,77
870,Anvi,Anand,Male,Manipur,['Ministry of Tourism'],19,34
871,Aarav,Saraf,Female,Lakshadweep,"['UPSC', 'Ministry of Defence', 'Ministry of Tribal Affairs']",39,37
872,Atharva,Gandhi,Male,Nagaland,"['AYUSH', 'Ministry of Information and Broadcasting', 'Ministry of Electronics and IT']",86,41
873,Aarohi,Gokhale,Male,Gujarat,"['PM Speech', 'Ministry of Civil Aviation']",25,65
874,Veer,Ahluwalia,Male,Kerala,"['Ministry of Science and Technology', 'Ministry of Tribal Affairs']",57,93
875,Darsh,Lal,Male,Bihar,['Ministry of Petroleum and Natural Gases'],38,83
876,Saanvi,Dalal,Male,Goa,['Ministry of Agriculture and Farmers Welfare'],40,13
877,Akshara,Chandra,Male,Karnataka,"['AYUSH', 'Ministry of Culture']",69,19
878,Veer,Chawla,Male,Lakshadweep,"['Ministry of Electronics and IT', 'Department of Atomic Energies']",31,16
879,Mohammed,Khanna,Male,Telangana,"['Ministry of Tribal Affairs', 'Ministry of Coal', 'Ministry of Science and Technology', 'Ministry of Law and Justice']",12,10
880,Aarush,Kohli,Male,Sikkim,"[""Prime Minister's Office"", 'Ministry of Communications']",33,2
881,Aarav,Pal,Female,Daman and Diu,"['Ministry of Steel', 'AYUSH']",42,3
882,Vivaan,Jha,Female,Punjab,['Ministry of Commerce and Industry'],77,65
883,Akshara,Pal,Female,Kerala,"['Ministry of Science and Technology', 'Ministry of Company Affairs']",75,58
884,Mohammed,Ahluwalia,Male,Bihar,"['Ministry of Defence', 'Ministry of Youth Affairs and Sports', 'Ministry of Power']",57,76
885,Advaith,Bhasin,Male,Bihar,"[""Prime Minister's Office""]",36,95
886,Riya,Kohli,Male,Haryana,"['Ministry of Law and Justice', 'Ministry of Power', 'Ministry of Youth Affairs and Sports', 'Ministry of Tribal Affairs']",60,26
887,Krishna,Jain,Female,Goa,"['Ministry of Science and Technology', 'UPSC']",46,2
888,Sai,Mehta,Male,Chandigarh,"['Ministry of Defence', 'Ministry of Science and Technology']",57,32
889,Anvi,Khurana,Male,Lakshadweep,"['Ministry of Company Affairs', 'Ministry of Commerce and Industry', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Electronics and IT']",32,64
890,Aditya,Purohit,Female,Karnataka,['Ministry of Tribal Affairs'],17,81
891,Dhruv,Ahuja,Female,Chandigarh,"['Ministry of Company Affairs', 'Ministry of Electronics and IT']",70,49
892,Anaya,Jain,Male,Rajasthan,['Ministry of Power'],57,92
893,Aadhya,Pal,Male,Andhra Pradesh,"['Ministry of Steel', 'Ministry of Tribal Affairs', 'Ministry of Law and Justice']",26,96
894,Vivaan,Biswas,Female,Punjab,"['Ministry of Electronics and IT', 'Ministry of Youth Affairs and Sports']",19,33
895,Mohammed,Jain,Male,Jharkhand,"['Ministry of Culture', 'Ministry of Power', 'Ministry of Civil Aviation', 'Ministry of External Affairs']",53,23
896,Iraa,Ganguly,Male,Andhra Pradesh,"['Ministry of Defence', 'Ministry of Civil Aviation']",35,83
897,Kabir,Gill,Male,Assam,"['UPSC', 'Ministry of Youth Affairs and Sports']",49,26
898,Ishaan,Bhasin,Female,Meghalaya,['Ministry of Agriculture and Farmers Welfare'],90,44
899,Arjun,Mani,Male,Rajasthan,"['Ministry of Youth Affairs and Sports', 'Ministry of Science and Technology', 'Ministry of Civil Aviation', 'Ministry of Steel']",56,35
900,Sai,Gandhi,Female,Andaman and Nicobar Islands,"['Ministry of Housing and Urban Affairs', 'Ministry of Law and Justice']",94,71
901,Anaya,Sachdev,Male,Puducherry,"['Ministry of Civil Aviation', 'Department of Atomic Energies']",67,23
902,Mohammed,Mannan,Female,Karnataka,"['Ministry of Defence', 'AYUSH']",21,34
903,Aarush,Malhotra,Female,Himachal Pradesh,"['Ministry of Civil Aviation', 'Ministry of Information and Broadcasting', 'Ministry of Tribal Affairs', 'Ministry of Tourism']",17,18
904,Arnav,Datta,Male,Maharashtra,"['Ministry of Information and Broadcasting', 'Ministry of Steel', 'UPSC']",76,69
905,Arnav,Basu,Male,Puducherry,['PM Speech'],55,67
906,Anika,Chandra,Female,Nagaland,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Coal']",36,54
907,Navya,Jain,Female,Kerala,"['Ministry of Power', 'AYUSH', 'Ministry of Commerce and Industry']",68,44
908,Vivaan,Dewan,Male,Andhra Pradesh,"[""Prime Minister's Office"", 'Ministry of Youth Affairs and Sports']",7,61
909,Krishna,Biswas,Male,Delhi,"['AYUSH', ""Prime Minister's Office"", 'Ministry of Agriculture and Farmers Welfare']",46,86
910,Vivaan,Kaur,Female,Meghalaya,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Law and Justice']",65,33
911,Saanvi,Das,Female,Odisha,"['Ministry of Company Affairs', ""Prime Minister's Office""]",84,18
912,Aarav,Das,Female,Punjab,"['PM Speech', 'UPSC', 'Ministry of Youth Affairs and Sports']",13,36
913,Navya,Kapoor,Male,Nagaland,"['Ministry of Civil Aviation', 'Ministry of Science and Technology', 'Ministry of Defence']",76,49
914,Eva,Gandhi,Male,Tripura,"['Ministry of Law and Justice', 'Ministry of Company Affairs']",8,57
915,Vihaan,Malhotra,Male,Sikkim,"['Ministry of Law and Justice', 'Ministry of External Affairs', 'Ministry of Agriculture and Farmers Welfare']",62,72
916,Vivaan,Ganguly,Male,Andaman and Nicobar Islands,['Ministry of Agriculture and Farmers Welfare'],9,63
917,Kyra,Gokhale,Female,Andhra Pradesh,"['Ministry of Petroleum and Natural Gases', 'Ministry of Electronics and IT', 'PM Speech', 'Ministry of Company Affairs']",64,76
918,Vihaan,Kaur,Male,Nagaland,['Ministry of Civil Aviation'],58,93
919,Saanvi,Bakshi,Female,Sikkim,"['Ministry of External Affairs', 'Ministry of Tribal Affairs', ""Prime Minister's Office""]",64,45
920,Arnav,Kaur,Female,Uttar Pradesh,"['Ministry of Coal', 'PM Speech', 'Department of Atomic Energies']",6,20
921,Krishna,Ahuja,Male,Madhya Pradesh,"['UPSC', 'Ministry of Culture']",22,1
922,Aaryan,Jain,Female,Andhra Pradesh,"['Ministry of Tribal Affairs', 'AYUSH', 'Ministry of Tourism']",16,50
923,Pranav,Mani,Male,Gujarat,"['Ministry of Housing and Urban Affairs', 'Ministry of Tribal Affairs', 'AYUSH', 'PM Speech']",33,54
924,Advik,Ahluwalia,Male,Nagaland,"['Ministry of Civil Aviation', ""Prime Minister's Office"", 'Department of Atomic Energies', 'Ministry of Steel']",5,91
925,Anika,Naidu,Male,Goa,"['Ministry of Tribal Affairs', 'Ministry of Power', 'Ministry of Petroleum and Natural Gases', 'Ministry of Youth Affairs and Sports']",89,64
926,Diya,Modi,Female,Himachal Pradesh,"['Ministry of Civil Aviation', 'Ministry of Company Affairs', 'Ministry of External Affairs']",87,40
927,Aaradhya,Balakrishna,Male,West Bengal,['Ministry of Tribal Affairs'],98,31
928,Aarush,Khatri,Female,Karnataka,"['Ministry of Petroleum and Natural Gases', 'Ministry of Defence', 'Ministry of Science and Technology']",30,48
929,Darsh,Das,Male,Bihar,"['Ministry of Housing and Urban Affairs', 'Ministry of External Affairs', 'Ministry of Electronics and IT']",16,82
930,Atharva,Modi,Female,Maharashtra,"['Department of Atomic Energies', 'Ministry of Civil Aviation', ""Prime Minister's Office""]",74,57
931,Arnav,Kumar,Male,Gujarat,"['Department of Atomic Energies', 'Ministry of Commerce and Industry', 'Ministry of Housing and Urban Affairs']",68,54
932,Sara,Dewan,Male,West Bengal,"[""Prime Minister's Office""]",65,76
933,Aarush,Modi,Male,Chandigarh,"['Ministry of Communications', 'Ministry of Commerce and Industry', 'Ministry of Tourism', 'AYUSH']",65,47
934,Riya,Bhasin,Male,Arunachal Pradesh,['PM Speech'],7,30
935,Vivaan,Saraf,Female,Goa,['Ministry of External Affairs'],41,19
936,Riya,Ganguly,Female,Daman and Diu,"['Ministry of Communications', 'Ministry of Civil Aviation', 'Ministry of Information and Broadcasting', 'Ministry of Commerce and Industry']",99,21
937,Kabir,Pal,Female,Manipur,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Law and Justice', 'Department of Atomic Energies', 'UPSC']",23,34
938,Veer,Bedi,Female,Arunachal Pradesh,"['Ministry of External Affairs', 'Ministry of Agriculture and Farmers Welfare']",29,51
939,Arjun,Chandra,Male,Assam,['Ministry of Steel'],13,57
940,Arnav,Laghari,Male,Himachal Pradesh,"['Ministry of Science and Technology', 'UPSC']",32,18
941,Vivaan,Ray,Male,Chandigarh,"['Department of Atomic Energies', 'Ministry of Communications', 'PM Speech']",28,86
942,Krishna,Kumar,Male,Tripura,['Ministry of External Affairs'],86,46
943,Advik,Bhasin,Female,Tamil Nadu,"['Ministry of Science and Technology', 'Ministry of Petroleum and Natural Gases']",71,68
944,Riya,Naidu,Male,Dadra and Nagar Haveli,['Ministry of Defence'],81,87
945,Reyansh,Jha,Male,Tripura,"['Ministry of Law and Justice', 'Ministry of Science and Technology', 'Ministry of Youth Affairs and Sports', 'Ministry of Agriculture and Farmers Welfare']",39,3
946,Diya,Mannan,Male,Daman and Diu,"['Ministry of Coal', 'Ministry of Steel']",46,30
947,Prisha,Purohit,Male,Puducherry,"['Department of Atomic Energies', 'Ministry of Petroleum and Natural Gases', 'Ministry of Law and Justice']",80,76
948,Ishaan,Khanna,Others,Sikkim,"['PM Speech', 'Ministry of Housing and Urban Affairs']",42,73
949,Riya,Apte,Female,Delhi,"['Ministry of Steel', 'Ministry of Civil Aviation', 'Ministry of Youth Affairs and Sports']",72,58
950,Aarav,Anand,Male,Telangana,"['Department of Atomic Energies', ""Prime Minister's Office"", 'Ministry of Tourism', 'Ministry of Power']",85,88
951,Veer,Dewan,Male,West Bengal,['Ministry of Tribal Affairs'],93,44
952,Krishna,Gandhi,Male,Andhra Pradesh,['Ministry of Power'],2,35
953,Saanvi,Jain,Female,Himachal Pradesh,"['Ministry of Defence', 'Ministry of Law and Justice']",56,65
954,Ishaan,Chowdhury,Female,Daman and Diu,"['PM Speech', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Petroleum and Natural Gases', 'AYUSH']",31,73
955,Aarav,Modi,Female,Bihar,['Ministry of Tribal Affairs'],49,9
956,Myra,Das,Male,Chhattisgarh,"[""Prime Minister's Office""]",40,59
957,Myra,Basu,Male,Telangana,['Ministry of Defence'],57,9
958,Anaya,Mannan,Male,Arunachal Pradesh,"['Ministry of Steel', 'Ministry of Communications']",77,14
959,Vivaan,Datta,Male,Assam,"['Ministry of Information and Broadcasting', 'Ministry of Science and Technology', 'Ministry of Company Affairs', 'Ministry of Tribal Affairs']",97,82
960,Sai,Bedi,Male,West Bengal,"['Ministry of External Affairs', ""Prime Minister's Office""]",13,53
961,Advik,Laghari,Female,Tripura,"['AYUSH', 'Ministry of Electronics and IT', 'Ministry of Communications', 'PM Speech']",50,11
962,Ananya,Jha,Male,Lakshadweep,"['Ministry of Science and Technology', 'PM Speech', 'Ministry of Civil Aviation']",74,32
963,Veer,Bajwa,Female,Sikkim,"['Ministry of Civil Aviation', 'Ministry of External Affairs']",69,41
964,Atharva,Pal,Female,Haryana,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Defence', 'Department of Atomic Energies']",18,11
965,Advik,Pal,Female,Tripura,"['Ministry of Information and Broadcasting', 'Ministry of Housing and Urban Affairs', 'Ministry of Company Affairs', 'Ministry of Communications']",31,27
966,Aaradhya,Bedi,Female,Haryana,['Ministry of Information and Broadcasting'],86,3
967,Aditya,Bajwa,Female,Punjab,"[""Prime Minister's Office""]",57,20
968,Shaurya,Sachdev,Female,Lakshadweep,"['Ministry of Tribal Affairs', 'Ministry of Law and Justice']",95,50
969,Aditya,Anand,Female,Arunachal Pradesh,['Ministry of Science and Technology'],29,74
970,Anaya,Chowdhury,Female,Maharashtra,"['Ministry of Civil Aviation', 'Ministry of Petroleum and Natural Gases']",14,2
971,Atharva,Lal,Male,Delhi,"['Ministry of Housing and Urban Affairs', 'PM Speech', 'Ministry of Power', 'UPSC']",41,52
972,Eva,Malhotra,Female,West Bengal,['Ministry of Power'],5,5
973,Mohammed,Kulkarni,Male,Tamil Nadu,['Ministry of Tourism'],79,65
974,Aarav,Gupta,Male,Haryana,"['Ministry of Tribal Affairs', 'Ministry of External Affairs']",94,50
975,Vivaan,Modi,Female,Chandigarh,"['Ministry of Tourism', 'Department of Atomic Energies', 'Ministry of Information and Broadcasting', 'Ministry of Civil Aviation']",56,35
976,Pari,Ray,Female,Telangana,"['Ministry of Information and Broadcasting', 'Ministry of Youth Affairs and Sports', 'Ministry of Steel']",52,11
977,Ananya,Kaur,Female,Andaman and Nicobar Islands,['Ministry of Housing and Urban Affairs'],40,68
978,Diya,Bhasin,Male,Lakshadweep,"['Ministry of Tribal Affairs', 'Ministry of Tourism', 'Ministry of Power', 'Department of Atomic Energies']",73,74
979,Anika,Khurana,Female,Karnataka,['Ministry of Company Affairs'],13,46
980,Pranav,Gupta,Male,Assam,['Ministry of External Affairs'],68,69
981,Vihaan,Balakrishna,Female,Chandigarh,['Ministry of Defence'],87,77
982,Advaith,Apte,Female,Goa,"['Ministry of Tribal Affairs', 'Ministry of Youth Affairs and Sports', 'Department of Atomic Energies', 'Ministry of Civil Aviation']",81,85
983,Aayan,Naidu,Female,Assam,['Ministry of Housing and Urban Affairs'],53,70
984,Anika,Lal,Female,Manipur,"['Ministry of Steel', 'Ministry of Coal', 'Ministry of Tourism']",68,37
985,Anaya,Basu,Male,Manipur,"[""Prime Minister's Office"", 'Ministry of Youth Affairs and Sports', 'Ministry of Information and Broadcasting', 'Ministry of Culture']",64,17
986,Reyansh,Ganguly,Female,Maharashtra,['Ministry of Communications'],7,60
987,Ritvik,Ahuja,Female,Lakshadweep,['Ministry of Science and Technology'],60,90
988,Angel,Sachdev,Female,Andhra Pradesh,"[""Prime Minister's Office"", 'Ministry of Tribal Affairs']",19,61
989,Siya,Pal,Female,West Bengal,"['Ministry of External Affairs', 'Department of Atomic Energies']",97,45
990,Aarav,Anand,Male,Goa,['Ministry of Civil Aviation'],88,50
991,Anvi,Purohit,Male,Andaman and Nicobar Islands,"['Ministry of Electronics and IT', 'Ministry of Coal']",10,11
992,Kabir,Bhasin,Male,Gujarat,"['Department of Atomic Energies', 'AYUSH', 'PM Speech']",79,52
993,Saanvi,Anand,Male,Rajasthan,"['Ministry of Youth Affairs and Sports', 'Ministry of Law and Justice', 'Department of Atomic Energies']",57,65
994,Diya,Ray,Male,Tamil Nadu,"['Ministry of Steel', 'Ministry of External Affairs', 'AYUSH', 'Ministry of Agriculture and Farmers Welfare']",78,78
995,Aayan,Mani,Male,Maharashtra,"['Ministry of Communications', 'Ministry of Coal']",92,85
996,Anaya,Ahuja,Female,Uttarakhand,"['Ministry of Tribal Affairs', 'Ministry of Defence']",50,27
997,Anaya,Chandra,Male,Arunachal Pradesh,"['Ministry of Youth Affairs and Sports', 'AYUSH']",77,79
998,Shanaya,Bajwa,Female,Karnataka,"['Ministry of Information and Broadcasting', 'Ministry of Coal', 'Ministry of Science and Technology', 'Ministry of Power']",17,49
999,Shaurya,Purohit,Male,Meghalaya,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of External Affairs', 'Ministry of Information and Broadcasting']",77,18
1000,Vivaan,Naidu,Female,Delhi,['Ministry of Agriculture and Farmers Welfare'],99,8
